track_id,title,artist,duration,tempo,loudness,key,mode,time_signature,danceability,energy
TRAAAAW128F429D538,I Didn't Mean To,Casual,218.93179,92.198,-11.197,1,0,4,0.0,0.0
TRAAABD128F429CF47,Soul Deep,The Box Tops,148.03546,121.274,-9.843,6,0,4,0.0,0.0
TRAAADZ128F9348C2E,Amor De Cabaret,Sonora Santanera,177.47546,100.07,-9.689,8,1,1,0.0,0.0
TRAAAEF128F4273421,Something Girls,Adam Ant,233.40363,119.293,-9.013,0,1,4,0.0,0.0
TRAAAFD128F92F423A,Face the Ashes,Gob,209.60608,129.738,-4.501,2,1,4,0.0,0.0
TRAAAMO128F1481E7F,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,267.7024,147.782,-9.323,5,1,3,0.0,0.0
TRAAAMQ128F1460CD3,Keepin It Real (Skit),Rated R,114.78159,111.787,-17.302,1,1,1,0.0,0.0
TRAAAPK128E0786D96,Drop of Rain,Tweeterfriendly Music,189.57016,101.43,-11.642,4,0,3,0.0,0.0
TRAAARJ128F9320760,Pink World,Planet P Project,269.81832,86.643,-13.496,4,1,4,0.0,0.0
TRAAAVG12903CFA543,Insatiable (Instrumental Version),Clp,266.39628,114.041,-6.697,7,0,4,0.0,0.0
TRAAAVO128F93133D4,Young Boy Blues,JennyAnyKind,218.77506,146.765,-10.021,5,0,1,0.0,0.0
TRAABCL128F4286650,The Urgency (LP Version),Wayne Watson,245.21098,117.975,-7.545,7,1,4,0.0,0.0
TRAABDL12903CAABBA,La Culpa,Andy Andy,226.35057,130.04,-6.632,9,1,4,0.0,0.0
TRAABJL12903CDCF1A,Auguri Cha Cha,Bob Azzam,191.84281,137.334,-7.75,10,0,1,0.0,0.0
TRAABJV128F1460C49,Tonight Will Be Alright,Lionel Richie,307.3824,125.197,-8.346,3,1,3,0.0,0.0
TRAABLR128F423B7E3,Floating,Blue Rodeo,491.12771,119.826,-8.576,7,1,4,0.0,0.0
TRAABNV128F425CEE1,High Tide,Richard Souther,228.5971,127.756,-16.11,8,1,5,0.0,0.0
TRAABRB128F9306DD5,Sohna Nee Sohna Data,Faiz Ali Faiz,599.24853,99.273,-8.032,6,1,4,0.0,0.0
TRAABVM128F92CA9DC,Caught In A Dream,Tesla,290.29832,150.062,-5.271,7,1,4,0.0,0.0
TRAABXG128F9318EBD,Synthetic Dream,lextrical,165.69424,138.331,-6.787,7,1,4,0.0,0.0
TRAABYN12903CFD305,Broken-Down Merry-Go-Round,Jimmy Wakely,151.84934,86.186,-15.221,1,1,3,0.0,0.0
TRAABYW128F4244559,Kassie Jones,Alice Stuart,220.78649,110.382,-8.514,11,1,1,0.0,0.0
TRAACCG128F92E8A55,Setanta matins,Elena,269.58322,111.874,-8.05,2,1,4,0.0,0.0
TRAACER128F4290F96,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,207.77751,166.862,-4.264,7,1,4,0.0,0.0
TRAACFV128F935E50B,James (Hold The Ladder Steady),SUE THOMPSON,124.86485,137.522,-12.332,10,1,4,0.0,0.0
TRAACHN128F1489601,Made Like This (Live),Five Bolt Main,225.09669,164.672,-5.908,7,1,1,0.0,0.0
TRAACIW12903CC0F6D,Superconfidential,Clp,338.31138,125.006,-6.486,6,0,4,0.0,0.0
TRAACLV128F427E123,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,186.48771,90.022,-4.516,5,1,1,0.0,0.0
TRAACNS128F14A2DF5,Spanish Grease,Willie Bobo,168.25424,127.025,-9.616,8,1,4,0.0,0.0
TRAACOW128F933E35F,Crazy Mixed Up World,Faye Adams,156.39465,95.957,-18.051,8,1,3,0.0,0.0
TRAACPE128F421C1B9,Do You Finally Need A Friend,Terry Callier,342.56934,110.189,-11.939,6,1,3,0.0,0.0
TRAACQT128F9331780,The Emperor Falls,John Wesley,484.62322,138.007,-15.335,4,0,4,0.0,0.0
TRAACSL128F93462F4,Twist and Shout,The Shangri-Las,164.80608,130.1,-10.922,10,1,1,0.0,0.0
TRAACTB12903CAAF15,It Makes No Difference Now,Billie Jo Spears,133.32853,160.839,-9.983,4,1,1,0.0,0.0
TRAACVS128E078BE39,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),173.66159,41.993,-7.762,7,1,1,0.0,0.0
TRAACZK128F4243829,¿Dónde va Chichi?,Sierra Maestra,313.12934,189.646,-9.512,9,1,3,0.0,0.0
TRAADDS128F425C68B,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,450.84689,130.586,-9.063,4,0,4,0.0,0.0
TRAADED128F42741FD,OUTE ENA EFHARISTO,Despina Vandi,303.09832,128.292,-8.879,8,0,4,0.0,0.0
TRAADEV128F9348C0A,Midnight Swim,Javier Navarrete,128.83546,90.932,-17.699,3,1,3,0.0,0.0
TRAADHS12903CE70A9,In A Subtle Way,Jacob Young,456.30649,89.667,-19.478,1,1,4,0.0,0.0
TRAADIV12903CB15C1,Spin,Scarlet's Remains,198.73914,115.061,-7.469,7,1,4,0.0,0.0
TRAADLH12903CA70EE,Burning In The Aftermath,The Suicide Machines,95.68608,115.887,-2.022,2,1,4,0.0,0.0
TRAADLN128F14832E9,Angie (1993 Digital Remaster),The Rolling Stones,271.49016,139.333,-10.358,9,0,1,0.0,0.0
TRAADLR12903CF8D7E,Sabor Guajiro,Roberto Torres,226.66404,117.271,-12.716,0,1,4,0.0,0.0
TRAADLX128F1469250,Human Cannonball,Loudon Wainwright III,190.48444,102.428,-15.663,3,1,4,0.0,0.0
TRAADMH128F9343E59,Glory Be,R.L. Burnside,277.78567,89.984,-6.944,2,1,4,0.0,0.0
TRAADNA128F9331246,Crossfire,Stevie Ray Vaughan,248.78975,116.721,-7.805,1,1,4,0.0,0.0
TRAADOF12903CAA1C1,I Can't Be Satisfied,John Hammond,195.3171,123.142,-10.7,7,1,4,0.0,0.0
TRAADQX128F422B4CF,Nashville Parthenon,Casiotone For The Painfully Alone,175.72526,141.919,-10.93,0,1,4,0.0,0.0
TRAADRN128F932D607,Cocain Ducks,Ec8or,217.23383,95.596,-9.493,10,0,4,0.0,0.0
TRAADVH128EF34DE7A,Human Being,The New York Dolls,344.05832,154.953,-9.253,11,1,1,0.0,0.0
TRAADYB128F92D7E73,The More I See You,Eliane Elias,251.42812,86.091,-12.009,7,1,5,0.0,0.0
TRAADYI128E078FB38,Certain Things We Do,Lost Boyz,269.7922,90.218,-11.043,7,1,4,0.0,0.0
TRAAEAM128F934B199,Forming,The Germs,206.05342,133.144,-11.506,11,0,1,0.0,0.0
TRAAEDJ12903CCE390,Mafuá,Yamandu Costa,190.04036,205.317,-14.179,2,1,4,0.0,0.0
TRAAEEH128E0795DFE,Driving Home For Christmas,Chris Rea,241.162,180.149,-8.531,9,1,4,0.0,0.0
TRAAELO128F9302DD1,Spooks In Space,Perrey And Kingsley,122.64444,102.538,-8.541,0,0,4,0.0,0.0
TRAAEMJ128F425A917,Tous Les Garçons Et Les Filles,Eurythmics,207.0722,84.164,-6.629,0,1,4,0.0,0.0
TRAAENC128F1451DE9,Too Much Saturn,Francis Dunnery,300.79955,124.175,-13.33,7,1,4,0.0,0.0
TRAAENP128F147BF32,Movement 4 [from Kiss] (Album Version),John Cale,228.46649,137.004,-12.412,7,1,1,0.0,0.0
TRAAEOU128F9309DE0,Stream,Suzanne Ciani,239.59465,106.33,-21.552,7,1,4,0.0,0.0
TRAAERU128F930674F,Make Me Over,Vickie Winans,228.93669,107.961,-8.686,11,0,4,0.0,0.0
TRAAEUB12903CDD3EA,Deform (live),The Berzerker,165.61587,174.287,-6.222,1,1,3,0.0,0.0
TRAAEWG128F930B3A4,Wicker Chair,Kings Of Leon,187.92444,116.823,-5.907,0,1,4,0.0,0.0
TRAAEXM128F92D47C8,An ti chans',Edith Lefel,276.50567,101.972,-4.638,0,1,4,0.0,0.0
TRAAFEB128F92F8694,I Will Love Again (JJ's Club Radio),Taras,200.25424,127.97,-5.884,11,0,4,0.0,0.0
